City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
79,Luderitz,-26.6481,15.1594,54.27,78,7,15.84,NA,clear sky
80,Saint Anthony,45.0205,-93.218,68.83,73,0,4.61,US,clear sky
81,East London,-33.0153,27.9116,64.67,83,100,7.34,ZA,overcast clouds
82,Northam,51.0333,-4.2167,55.62,73,0,17.54,GB,clear sky
83,Tasiilaq,65.6145,-37.6368,32.16,53,75,5.41,GL,broken clouds
84,Police,53.5521,14.5718,56.53,89,27,12.73,PL,scattered clouds
85,Bangui,4.3612,18.555,71.29,96,97,0.67,CF,light rain
86,Barkot,30.8167,78.2,60.48,89,1,3.24,IN,clear sky
87,Lorengau,-2.0226,147.2712,85.71,68,71,12.97,PG,broken clouds
88,Urumqi,43.801,87.6005,41.95,61,0,2.24,CN,clear sky
89,Kasongo-Lunda,-6.4667,16.8167,67.66,96,88,1.3,CD,overcast clouds
90,Kloulklubed,7.0419,134.2556,84.7,73,85,9.13,PW,overcast clouds
91,Barrow,71.2906,-156.7887,35.62,80,100,11.5,US,overcast clouds
92,Yellowknife,62.456,-114.3525,40.91,56,16,13.67,CA,few clouds
93,Ribeira Grande,38.5167,-28.7,70.36,84,99,4.9,PT,light rain
94,Carnarvon,-24.8667,113.6333,62.98,53,17,25.32,AU,few clouds
95,Namatanai,-3.6667,152.4333,84.72,69,95,7.9,PG,light rain
96,Palu,-0.8917,119.8707,80.98,82,100,1.41,ID,overcast clouds
97,Saint-Philippe,-21.3585,55.7679,67.59,76,43,11.27,RE,scattered clouds
98,Salalah,17.0151,54.0924,77.09,83,0,2.3,OM,clear sky
99,Qaanaaq,77.484,-69.3632,5.77,70,32,7.63,GL,scattered clouds
100,Hamilton,39.1834,-84.5333,66.09,57,75,3.44,US,broken clouds
101,Airai,-8.9266,125.4092,68.34,67,95,3.13,TL,overcast clouds
102,Saldanha,-33.0117,17.9442,56.3,78,5,4.09,ZA,clear sky
103,Amuntai,-2.4177,115.2494,77.5,87,97,2.39,ID,overcast clouds
104,Georgetown,5.4112,100.3354,77.9,91,20,1.14,MY,few clouds
105,Alma,48.5501,-71.6491,55.09,81,76,5.97,CA,broken clouds
106,Sabang,5.8933,95.3214,79.92,78,100,16.93,ID,overcast clouds
107,Kizilskoye,52.7255,58.8937,47.14,36,100,7.56,RU,overcast clouds
108,Florianopolis,-27.6146,-48.5012,62.62,87,93,1.99,BR,overcast clouds
109,Southbridge,42.0751,-72.0334,58.86,98,100,8.05,US,light rain
110,Nanortalik,60.1432,-45.2371,37.49,86,67,16.73,GL,broken clouds
111,Chara,56.9064,118.2631,21.51,69,78,2.82,RU,broken clouds
112,Wote,-1.7808,37.6288,64.89,81,89,6.46,KE,overcast clouds
113,Tuatapere,-46.1333,167.6833,43.61,80,100,16.13,NZ,overcast clouds
114,Avarua,-21.2078,-159.775,78.85,65,40,18.41,CK,scattered clouds
115,Mahebourg,-20.4081,57.7,70.09,83,40,9.22,MU,scattered clouds
116,Jamestown,42.097,-79.2353,56.84,63,0,1.01,US,clear sky
117,Longyearbyen,78.2186,15.6401,39.04,75,20,14.97,SJ,few clouds
118,Santiago De Cuba,20.0247,-75.8219,80.71,78,40,6.91,CU,scattered clouds
119,Tierranueva,21.6833,-100.5667,64.98,70,88,13.53,MX,overcast clouds
120,Punta Arenas,-53.15,-70.9167,44.71,76,75,13.8,CL,broken clouds
121,Tessalit,20.1986,1.0114,89.6,14,73,10.04,ML,broken clouds
122,Mabaruma,8.2,-59.7833,75.29,94,100,2.64,GY,overcast clouds
123,Kaitangata,-46.2817,169.8464,40.17,88,100,16.6,NZ,overcast clouds
124,Yerbogachen,61.2767,108.0108,26.85,82,46,3.78,RU,scattered clouds
125,Busselton,-33.65,115.3333,56.01,57,14,12.5,AU,few clouds
126,Khandyga,62.6667,135.6,18.14,72,37,2.8,RU,scattered clouds
127,Biak,-0.9131,122.8766,80.69,73,100,0.85,ID,light rain
128,Timra,62.487,17.3257,55.67,94,100,11.5,SE,moderate rain
