City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
264,Broken Hill,AU,75.13,clear sky,-31.95,141.4333,Royal Exchange Hotel
269,Gamba,GA,75.22,overcast clouds,-2.65,10.0,
270,Kudahuvadhoo,MV,81.07,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
273,Juarez,MX,79.59,broken clouds,31.7333,-106.4833,Hotel Santa Fe
275,Harper,LR,76.1,overcast clouds,4.375,-7.7169,Screensaver
278,Crateus,BR,82.56,clear sky,-5.1783,-40.6775,Orient Plaza Hotel
280,Jasper,US,78.87,broken clouds,37.2001,-94.3502,Guest House Motel
283,Lucea,JM,82.85,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
288,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
291,Tamiahua,MX,76.95,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
295,Kerema,PG,84.78,overcast clouds,-7.9631,145.7785,Frena Lodge
297,Kismayo,SO,76.66,scattered clouds,-0.3582,42.5454,Agan-Hotel
301,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
303,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
306,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
308,Nabire,ID,80.55,broken clouds,-3.3667,135.4833,Hotel Nusantara I
309,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
314,Sarankhola,BD,76.96,broken clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
316,Vizianagaram,IN,76.51,overcast clouds,18.1167,83.4167,Anupriya Residency
317,Gigmoto,PH,83.35,overcast clouds,13.7796,124.39,Cj's Travellers Inn
318,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
325,Kirakira,SB,83.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
327,Lompoc,US,87.01,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
328,Diu,IN,77.45,broken clouds,20.7141,70.9822,Hotel Relax Inn
333,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
337,Bonthe,SL,76.84,moderate rain,7.5264,-12.505,Bonthe Holiday Village
340,Khanpur,PK,79.38,clear sky,28.6453,70.6567,Ahmad Bartan store
341,Bubaque,GW,81.64,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
342,Sinnamary,GF,79.81,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
343,Port Hedland,AU,77.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
348,Buchanan,LR,76.44,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
349,Berbera,SO,86.29,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
350,Morgan City,US,75.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
355,Sao Filipe,CV,79.09,broken clouds,14.8961,-24.4956,Hotel Xaguate
356,Bermejillo,MX,78.84,clear sky,25.8833,-103.6167,Hotel Mirador
359,Waingapu,ID,82.9,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
363,Hobyo,SO,76.84,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
365,Matara,LK,76.73,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
372,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
374,Saint-Georges,GD,80.28,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
375,Balabac,PH,83.86,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
388,North Bend,US,76.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
391,Liku,ID,80.24,overcast clouds,-0.7275,119.8922,Kost annisa
397,Beroroha,MG,75.2,clear sky,-21.6667,45.1667,
399,Jiazi,CN,79.47,broken clouds,22.8779,116.067,Hotel Jin Hao
400,Cravo Norte,CO,83.86,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
402,Altamont,US,83.79,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
403,Itaituba,BR,84.67,overcast clouds,-4.2761,-55.9836,Hotel Campos
404,Riverton,US,76.24,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
410,Nouakchott,MR,87.06,broken clouds,18.0858,-15.9785,HOTEL IMAN
411,Murud,IN,78.4,overcast clouds,18.3258,72.965,On Point Plaza
412,Bilma,NE,87.24,few clouds,18.6853,12.9164,Expeditions Ténére voyages
414,Ranong,TH,78.73,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
416,Savannah Bight,HN,79.68,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
417,Najran,SA,75.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
419,Karratha,AU,78.17,clear sky,-20.7377,116.8463,ibis Styles Karratha
420,Maraba,BR,80.78,few clouds,-5.3686,-49.1178,Hotel Del Principe
422,Mana,GF,79.65,few clouds,5.6592,-53.7767,LE SAMANA
424,Banda Aceh,ID,77.67,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
425,Diamantino,BR,80.67,broken clouds,-14.4086,-56.4461,Hotel Delta
